paper_id,category,title,abstract,type,year,venue,doi,url
6a5761ef038b5860a6bf7d656393de16a1af6dce,physics,Quantum thermodynamics,"Quantum thermodynamics is a rapidly developing field that seeks to generalize classical thermodynamics and non-equilibrium statistical physics to systems where quantum effects and small ensemble sizes are significant. Motivated by advances in experimental control at the nanoscale and the need for a deeper understanding of energy exchanges in quantum systems, this research area integrates perspectives from statistical physics, many-body theory, mesoscopic physics, and quantum information theory. Key topics include the foundations of thermodynamic laws in quantum regimes, the interplay between information and thermodynamics exemplified by concepts such as Maxwell’s demon and Landauer’s principle, the characterization of work and heat at the quantum level, fluctuation theorems, and the operation of quantum thermal machines. The paper provides an accessible overview of these themes, highlighting theoretical developments such as single-shot thermodynamics and resource-theoretic approaches, as well as open questions regarding thermalization, irreversibility, and the efficiency of quantum engines. This synthesis aims to guide both newcomers and specialists toward a unified framework for understanding thermodynamic processes in the quantum domain.",machine,2015,,10.1080/00107514.2016.1201896,https://www.semanticscholar.org/paper/6a5761ef038b5860a6bf7d656393de16a1af6dce
5151f8d617c2171bb9611f372f460940ef74e214,engineering,"Molecular Weight Dependence of Polymersome Membrane Structure, Elasticity, and Stability","Vesicles prepared in water from a series of diblock copolymers“polymersomes”are physically characterized. With increasing molecular weight Mn, the hydrophobic core thickness for self-assembled bilayers of poly(ethylene oxide)−polybutadiene increases up to ∼20 nm, which is considerably greater than any previously studied lipid or polymersome system. Micromanipulation of vesicles demonstrates an interface-dominated elasticity that is independent of Mn. Furthermore, membrane stability as defined by the maximal areal strain increases with Mn, approaching a universal limit predicted by mean-field ideas and set by the interfacial tension. Nonlinear responses and memory effects also emerge with increasing Mn, indicating the onset of chain entanglements at higher Mn. The results highlight the interfacial limits and transitions to bulk responses of self-assemblies.",human,2001,,10.1021/ma020669l,https://www.semanticscholar.org/paper/5151f8d617c2171bb9611f372f460940ef74e214
a0213f9bc2e0507d5f25637bb5ddd0321d92d8ef,biology,A systems biology approach for pathway level analysis.,"A common challenge in the analysis of genomics data is trying to understand the underlying phenomenon in the context of all complex interactions taking place on various signaling pathways. A statistical approach using various models is universally used to identify the most relevant pathways in a given experiment. Here, we show that the existing pathway analysis methods fail to take into consideration important biological aspects and may provide incorrect results in certain situations. By using a systems biology approach, we developed an impact analysis that includes the classical statistics but also considers other crucial factors such as the magnitude of each gene's expression change, their type and position in the given pathways, their interactions, etc. The impact analysis is an attempt to a deeper level of statistical analysis, informed by more pathway-specific biology than the existing techniques. On several illustrative data sets, the classical analysis produces both false positives and false negatives, while the impact analysis provides biologically meaningful results. This analysis method has been implemented as a Web-based tool, Pathway-Express, freely available as part of the Onto-Tools (http://vortex.cs.wayne.edu).",human,2007,Genome Research,10.1101/GR.6202607,https://www.semanticscholar.org/paper/a0213f9bc2e0507d5f25637bb5ddd0321d92d8ef
eb3f6cfa4fe93ee7069be59e911a374e9993f57a,sociology,The Great Transformation of Embeddedness: Karl Polanyi and the New Economic Sociology,"I argue that in its adaptation from Karl Polanyi's The Great Transformation, the concept of embeddedness has itself undergone a great transformation. In the process, significant meanings of the concept have vanished, while others have been added. First I explore the different meanings the concept of embeddedness has achieved in the new economic sociology. Then I argue that it is not the embeddedness of economic action that should constitute the vantage point of economic sociology, but rather three coordination problems that actors face in economic exchange: the valuation of goods, competition and the problem of cooperation deriving from the social risks of exchange. I show that by proceeding from these coordination problems economic sociology, economic anthropology and economic history can find common research questions which allow them to enter into dialogue with each other more systematically. In the next section I focus on the social-reformist inclinations of Polanyi's use of the notion of embeddedness and thereby highlight a challenge posed in The Great Transformation that was largely not taken up by economic sociologists. Finally, I discuss limitations for developing a macro theory of the economy that result from making embeddedness the core concept of economic sociology.",human,2007,,10.2139/ssrn.2465810,https://www.semanticscholar.org/paper/eb3f6cfa4fe93ee7069be59e911a374e9993f57a
c54c667b7848a3617d9d4663ae4f96f8b9450e17,chemistry,Revealing noncovalent interactions.,"Molecular structure does not easily identify the intricate noncovalent interactions that govern many areas of biology and chemistry, including design of new materials and drugs. We develop an approach to detect noncovalent interactions in real space, based on the electron density and its derivatives. Our approach reveals the underlying chemistry that compliments the covalent structure. It provides a rich representation of van der Waals interactions, hydrogen bonds, and steric repulsion in small molecules, molecular complexes, and solids. Most importantly, the method, requiring only knowledge of the atomic coordinates, is efficient and applicable to large systems, such as proteins or DNA. Across these applications, a view of nonbonded interactions emerges as continuous surfaces rather than close contacts between atom pairs, offering rich insight into the design of new and improved ligands.",human,2010,Journal of the American Chemical Society,10.1021/ja100936w,https://www.semanticscholar.org/paper/c54c667b7848a3617d9d4663ae4f96f8b9450e17
a6afe843f35122590ba2aea841ac9cc0a5fb9f56,economics,Technological Change and the Environment,"This paper examines the complex relationship between technological change and environmental outcomes, highlighting how both the rate and direction of technological progress significantly influence the environmental impacts of economic activity. It reviews foundational economic theories of technological change, including Schumpeterian dynamics, production functions, and endogenous growth models, and explores how invention, innovation, and diffusion processes interact with environmental policy. Special attention is given to the concept of induced innovation, whereby policy interventions can stimulate the development and adoption of environmentally beneficial technologies. The analysis synthesizes theoretical and empirical evidence on how different policy instruments affect technological advancement and the spread of green technologies, considering issues such as market failures, information barriers, and increasing returns. The paper concludes by identifying key areas for future research at the intersection of technology and environmental economics, emphasizing the importance of understanding these interactions for effective policy design.",machine,2000,,10.2139/ssrn.252927,https://www.semanticscholar.org/paper/a6afe843f35122590ba2aea841ac9cc0a5fb9f56
9d009f78491dea1e72b4c2030aad33d191a8bd3e,chemistry,Asymmetric catalysis in organic synthesis,"This research presents the development of novel asymmetric catalyst systems for enantioselective organic synthesis, focusing on lanthanide metals bearing diolate and Schiff-base ligands. The project aimed to address the growing demand for optically pure compounds in pharmaceuticals and fine chemicals by designing catalysts capable of transforming prochiral substrates into single enantiomer products with high efficiency and selectivity. Ligands were synthesized from inexpensive, readily available precursors using a modular approach, enabling rapid modification of ligand structures to optimize catalytic performance. The study also introduced a new ligand system for Group IV and lanthanide-based olefin polymerization catalysts, offering facile synthesis and tunable stereocontrol. The research demonstrated that these chiral lanthanide complexes exhibit significant Lewis acidity, facilitating strong substrate binding and effective enantioselective transformations. The findings highlight the potential of rational ligand design and structure-based catalyst optimization to advance asymmetric catalysis, providing scalable solutions for the production of enantiomerically pure compounds while minimizing waste and cost.",machine,1994,,10.5860/choice.32-3899,https://www.semanticscholar.org/paper/9d009f78491dea1e72b4c2030aad33d191a8bd3e
cac88108ed7a7457463d7c5ede9c7db3b249f93b,engineering,Engineering precision nanoparticles for drug delivery,"Engineered nanoparticles offer transformative potential for drug delivery by overcoming the limitations of conventional therapeutics, including challenges in biodistribution, cellular uptake, and patient heterogeneity. Despite extensive research and supportive national initiatives, clinical translation of nanoparticle-based medicines remains limited due to physiological differences between animal models and humans, as well as variability among patient populations. Recent advances in nanoparticle design—incorporating controlled synthesis, responsive materials, and targeted delivery—have enabled the development of more sophisticated systems capable of addressing biological barriers and tailoring therapies to individual patients. Lipid-based, polymeric, and inorganic nanoparticles are being optimized for both general and precision medicine applications, with particular promise in cancer therapy, immunotherapy, and gene editing. This review discusses the evolution of nanoparticle engineering for drug delivery, highlights strategies to overcome translational hurdles, and emphasizes the importance of integrating patient-specific data to enhance therapeutic efficacy. By leveraging innovations in biomaterials and biomedical engineering, precision nanoparticles have the potential to significantly improve patient outcomes through more effective and personalized treatment strategies.",machine,2020,Nature reviews. Drug discovery,10.1038/s41573-020-0090-8,https://www.semanticscholar.org/paper/cac88108ed7a7457463d7c5ede9c7db3b249f93b
592d853b81cfd02201fa7136e43cae95fb1a786c,physics,Chapter 5: Physics of energetic ions,"This chapter provides a comprehensive review of recent advances in the physics of energetic ions, with a focus on their behavior and impact in burning plasma regimes relevant to ITER and future fusion reactors. It discusses new experimental schemes for generating energetic ions that simulate fusion-born alpha particles, enabling the study of key parameters such as Alfvénic Mach number and normalized pressure gradient under conditions approaching those expected in ITER. The chapter examines the effects of toroidal magnetic field ripple on fast ion losses and highlights the role of ferritic inserts in mitigating these losses in reversed shear configurations. It also addresses the nonlinear interactions between fast ions and magnetohydrodynamic (MHD) modes, noting qualitative understanding but emphasizing the need for improved quantitative predictions, particularly regarding sawtooth stabilization and neoclassical tearing mode triggering by fast particles. A substantial database on the linear stability of Alfvén eigenmodes and other collective modes has been established, with increasing consistency between theoretical models and experimental observations, although further systematic studies are required for higher mode numbers. The nonlinear dynamics of Alfvén eigenmodes near marginal stability are well characterized, offering insights into energetic ion phase space distributions, while data on strongly unstable scenarios remain limited. The chapter concludes that continued integration of experimental results with advanced theoretical and numerical modeling is essential to fully assess the implications of energetic ion physics for burning plasma operation and control in ITER.",machine,1999,,10.1088/0029-5515/47/6/S05,https://www.semanticscholar.org/paper/592d853b81cfd02201fa7136e43cae95fb1a786c
a07460c017b67a432a06143f86eb8123f6823579,business,Exploring transparency: a new framework for responsible business management,"Purpose – The purpose of this paper is to critically review the relevant literature on transparency, provide a comprehensive definition of transparency, and present a new framework for facilitating the adoption of transparency as an ethical cornerstone and pragmatic strategy for organizational responsible business management. Design/methodology/approach – A systematic literature review – a methodology adopted from medical sciences to eliminate research bias – was conducted. In doing so, the definitions, antecedents, and consequences of transparency are accessed and synthesized. Findings – Based upon this process transparency is defined as the extent to which a stakeholder perceives an organization provides learning opportunities about itself. A conceptual framework emerged from the data. It describes when transparency is especially important, what organizations can do to be more transparent, and the potential benefits of transparency. Practical implications – The transparency framework can be used as a guide for organizations attempting to change their behavior, image, and performance by adopting transparency as a value in their organization. In addition, the framework can be used to create and adopt a universal (i.e. industry-wide or even societal-wide) code of conduct. Furthermore, this review, definition, and framework provide a template for academics to advance transparency theory, and empirically test the construct’s application. Originality/value – As a new research field, transparency has lacked a concise definition as well as a conceptual framework. This is the first comprehensive summary of transparency. In addition, this study contributes to the methodology of evaluating construct definitions to advance empirical research.",human,2016,,10.1108/MD-07-2015-0279,https://www.semanticscholar.org/paper/a07460c017b67a432a06143f86eb8123f6823579
0d9155f763ad1d72e67b9ea5dbf6c84e62fcf535,engineering,Engineering optimisation by cuckoo search,"This paper introduces the Cuckoo Search (CS) algorithm, a novel metaheuristic inspired by the brood parasitism of certain cuckoo species and the efficiency of Lévy flight-based random walks. The CS algorithm is designed to address highly nonlinear and multimodal engineering optimisation problems that are challenging for traditional local search methods. The study provides an in-depth comparison of CS with established algorithms such as particle swarm optimisation (PSO), using both standard and newly developed stochastic test functions. Results demonstrate that CS consistently achieves superior optimal solutions, particularly in complex engineering design tasks like spring and welded beam structure optimisation. The paper also discusses the unique intensification and diversification mechanisms of CS, highlighting its robustness, parameter insensitivity, and potential for further research in global optimisation applications.",machine,2010,Int. J. Math. Model. Numer. Optimisation,10.1504/IJMMNO.2010.035430,https://www.semanticscholar.org/paper/0d9155f763ad1d72e67b9ea5dbf6c84e62fcf535
76c52d6c00dd5d0c676ad8647a528e54b87ae895,engineering,Risk Assessment in Geotechnical Engineering,"This paper provides a comprehensive framework for risk assessment in geotechnical engineering by integrating probabilistic theory, random processes, and advanced statistical methods with practical applications. It systematically reviews foundational concepts in probability, random variables, and stochastic processes, extending to the modeling of spatial variability through random fields. Estimation techniques, simulation methods—including Monte Carlo approaches—and reliability-based design principles are developed to quantify and manage uncertainty in geotechnical systems. The practical component applies these methodologies to groundwater modeling, flow through earth dams, settlement and bearing capacity of foundations, slope stability, earth pressures, mine pillar capacity, and soil liquefaction. Through case studies and parametric analyses, the paper demonstrates how probabilistic modeling and random finite-element methods improve the prediction of performance and safety in geotechnical structures. The work emphasizes the importance of risk-based decision making and reliability assessment to achieve more robust and cost-effective designs in the face of inherent soil and loading uncertainties.",machine,2008,,10.1002/9780470284704,https://www.semanticscholar.org/paper/76c52d6c00dd5d0c676ad8647a528e54b87ae895
5e5ecfcc7590a4e1605c77037573b675c5a7037a,biology,Biology of the TAM receptors.,"The TAM receptors--Tyro3, Axl, and Mer--comprise a unique family of receptor tyrosine kinases, in that as a group they play no essential role in embryonic development. Instead, they function as homeostatic regulators in adult tissues and organ systems that are subject to continuous challenge and renewal throughout life. Their regulatory roles are prominent in the mature immune, reproductive, hematopoietic, vascular, and nervous systems. The TAMs and their ligands--Gas6 and Protein S--are essential for the efficient phagocytosis of apoptotic cells and membranes in these tissues; and in the immune system, they act as pleiotropic inhibitors of the innate inflammatory response to pathogens. Deficiencies in TAM signaling are thought to contribute to chronic inflammatory and autoimmune disease in humans, and aberrantly elevated TAM signaling is strongly associated with cancer progression, metastasis, and resistance to targeted therapies.",human,2013,Cold Spring Harbor Perspectives in Biology,10.1101/cshperspect.a009076,https://www.semanticscholar.org/paper/5e5ecfcc7590a4e1605c77037573b675c5a7037a
f53a225c0fa3e9c0c23d12ecde04a6c767ce35bf,medicine,"Implementing the 27 PRISMA 2020 Statement items for systematic reviews in the sport and exercise medicine, musculoskeletal rehabilitation and sports science fields: the PERSiST (implementing Prisma in Exercise, Rehabilitation, Sport medicine and SporTs science) guidance","Poor reporting of systematic reviews remains a significant challenge in sport and exercise medicine, musculoskeletal rehabilitation, and sports science, limiting the utility and reproducibility of research findings. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 Statement provides general guidance for systematic review reporting but lacks field-specific implementation support. To address this gap, the PERSiST (implementing Prisma in Exercise, Rehabilitation, Sport medicine and SporTs science) guidance was developed through collaboration among 19 content experts and three methodologists. The team identified exemplary reporting examples for each of the 27 PRISMA 2020 items, tailored to the contexts of sport and exercise medicine, musculoskeletal rehabilitation, and sports science. PERSiST aims to enhance transparency, accuracy, and comprehensiveness in systematic review reporting within these fields by providing practical, context-specific examples. This guidance supports systematic reviewers in improving their reporting practices and assists journal editors and peer reviewers in assessing the quality of systematic reviews. By facilitating the implementation of PRISMA 2020 standards, PERSiST seeks to strengthen evidence synthesis and promote informed decision-making in clinical practice and research.",machine,2021,British Journal of Sports Medicine,10.1136/bjsports-2021-103987,https://www.semanticscholar.org/paper/f53a225c0fa3e9c0c23d12ecde04a6c767ce35bf
e6b27ac9394c262f4591d124ddefba314488f638,chemistry,Polydopamine Surface Chemistry: A Decade of Discovery.,"Over the past decade, polydopamine has emerged as a uniquely versatile and material-independent platform for surface functionalization, inspired by the adhesive properties of mussel proteins. This review traces the evolution of polydopamine surface chemistry from its origins to its current status as a widely adopted method across diverse scientific and engineering fields. We discuss advances in understanding the molecular structure, deposition mechanisms, and physicochemical properties of polydopamine coatings, as well as their comparison to other surface modification techniques. The expanding range of substrates amenable to polydopamine modification and the breadth of emerging applications are highlighted. Key challenges and future directions are identified, including elucidation of formation mechanisms, development of dopamine analogs and alternative precursors, and enhancement of coating mechanical properties. This comprehensive overview underscores polydopamine’s transformative impact on surface science and outlines opportunities for further innovation in the field.",machine,2018,ACS Applied Materials and Interfaces,10.1021/acsami.7b19865,https://www.semanticscholar.org/paper/e6b27ac9394c262f4591d124ddefba314488f638
ea6e1f6b4a6389c6c407e6d99b318f734268f4eb,environmental science,A basic guide for empirical environmental social science,"This paper provides a foundational overview of empirical research methods in environmental social science, aiming to guide newcomers and practitioners in designing, conducting, and interpreting empirical studies. It outlines the key principles of empirical inquiry, including the formulation of research questions, selection of appropriate methodologies, data collection strategies, and approaches to data analysis. The guide emphasizes the importance of integrating social and ecological perspectives, recognizing the complexity and interdependence inherent in environmental issues. Practical considerations such as ethical research practices, stakeholder engagement, and the challenges of working across disciplinary boundaries are addressed. By synthesizing best practices and common pitfalls, this guide serves as a practical resource for students and researchers seeking to contribute robust empirical evidence to inform environmental policy and management decisions.",machine,2015,,10.5751/ES-07400-200163,https://www.semanticscholar.org/paper/ea6e1f6b4a6389c6c407e6d99b318f734268f4eb
ad7c9780052d5662a0ea48a3773cdd8cae67ffac,physics,Lectures on holographic methods for condensed matter physics,"These lecture notes provide an introduction to the application of holographic duality, specifically the AdS/CFT correspondence, to problems in condensed matter physics, with a focus on systems exhibiting strong correlations and quantum criticality. Beginning with a motivation for the relevance of high energy methods in condensed matter contexts, the notes review key concepts such as quantum critical points, scale invariance, and the breakdown of conventional quasiparticle descriptions. The AdS/CFT framework is then developed as a computational tool for studying equilibrium properties, transport phenomena, and superconductivity in strongly coupled systems. Detailed examples include computations of electrical and thermal conductivities, spectral functions, and the construction of holographic models for unconventional superconductors. The lectures also discuss the connections between theoretical predictions and experimental observations, such as those in graphene, and critically assess both the potential insights and limitations of holographic approaches in modeling condensed matter phenomena.",machine,2009,,10.1088/0264-9381/26/22/224002,https://www.semanticscholar.org/paper/ad7c9780052d5662a0ea48a3773cdd8cae67ffac
35fd9f4c4289a293e209846717ab28e1eb7fc994,education,Developing employability in engineering education: a systematic review of the literature,"In this systematic review of the research literature on engineering employability, curricular and pedagogical arrangements that prepare graduates for work in the twenty-first century were identified. The research question guiding the review was: Which curricular and pedagogical arrangements promote engineering students’ employability? The particular focus of the study was on how authors prioritised engineering knowledge and professional skills. The review drew on a theoretical framework that differentiated between engineering knowledge and professional skills to explain how employability could be included in engineering programmes. Data was obtained from research studies over the period 2007–2017. We found an interdependent relationship between engineering knowledge and professional skills that enabled engineering graduates to attain employability. The com of engineering problems require students to master engineering knowledge, while the ability to work with others across contexts requires professional skills. Both are necessary for deep understanding of engineering principles and a focus on real world problems.",human,2018,European Journal of Engineering Education,10.1080/03043797.2018.1534086,https://www.semanticscholar.org/paper/35fd9f4c4289a293e209846717ab28e1eb7fc994
