TEXT;LANGUAGE;DOMAIN;CLASS;SYSTEM;;
Després de menysvalorar els riscos durant una estona, les autoritats locals finalment van decidir de posar tota la població en quarantena el 13 de març.;CA;CLINICAL;HUMAN;NONE;;
El 6 de març del 2020, Bhutan va confirmar el seu primer cas de malalt de COVID-19, un ciutadà estatunidenc de 76 anys que havia arribat al país després de passar per l'Índia.;CA;CLINICAL;HUMAN;NONE;;
Dos dels contagiats provenien dels Estats Units, un de Nova York i l'altre de Miami) mentre que el tercer cas és probablement el primer exemple de transmissió local. ;CA;CLINICAL;HUMAN;NONE;;
A la natura, el bacteri només pot créixer dins les cèl·lules d'un organisme hoste, però M. tuberculosis pot ser cultivat in vitro. ;CA;CLINICAL;HUMAN;NONE;;
La pandèmia de grip del 1918 en humans, es va associar amb la soca H1N1 i l'aparició de la grip en porcs, això reflecteix la zoonosi ja sigui dels porcs cap als humans, o des dels humans als porcs.;CA;CLINICAL;HUMAN;NONE;;
Es componen d'un embolcall víric que conté dos tipus de glicoproteïnes, que envolta un nucli central. ;CA;CLINICAL;HUMAN;NONE;;
S'ha demostrat que moltes xarxes reals com Internet, la xarxa mundial i fins i tot les xarxes de contactes sexuals són xarxes sense escala i, per tant, presenten una distribució de llei de poder per a la distribució de títols. ;CA;CLINICAL;HUMAN;NONE;;
La pandèmia per coronavirus de 2019-2020 es va detectar a Portugal a partir del 2 de març del 2020.;CA;CLINICAL;HUMAN;NONE;;
Aquesta forma greu de tuberculosi és més comuna en els infants i la gent gran i rep el nom de tuberculosi miliar. ;CA;CLINICAL;HUMAN;NONE;;
Però hi va haver escèptics. ;CA;CLINICAL;HUMAN;NONE;;
János Diescher va ser nomenat successor de Semmelweis a la Clínica de Maternitat de la Universitat de Pest. ;CA;CLINICAL;HUMAN;NONE;;
La MPOC es desenvolupa com una resposta inflamatòria significativa i crònica a irritants inhalats. ;CA;CLINICAL;HUMAN;NONE;;
A més a més, es van distribuir fulls informatius sobre el nou coronavirus al conjunt de la població. ;CA;CLINICAL;HUMAN;NONE;;
L'arribada de la pandèmia per coronavirus de 2019-2020 a Ruanda es va declarar oficialment el 14 de març de 2020.;CA;CLINICAL;HUMAN;NONE;;
Eren dues persones que tornaven d'Itàlia on havien estat en contacte amb una persona positiva. ;CA;CLINICAL;HUMAN;NONE;;
K. pneumoniae és la causa més comuna d'infeccions nosocomials respiratòries i la segona causa més freqüent de bacterièmia causa per organismes grammnegatius i també de les infeccions del tracte urinari. ;CA;CLINICAL;HUMAN;NONE;;
Els brots en porcs són comuns i causen pèrdues econòmiques significatives a la indústria. ;CA;CLINICAL;HUMAN;NONE;;
En l'actualitat és mantingut per la Free Software Foundation. ;CA;CLINICAL;HUMAN;NONE;;
Alarma sanitària: mala comunicació dels riscos per a la població que provoquen commoció social. ;CA;CLINICAL;HUMAN;NONE;;
El moment més crític pel brot del 2009 va ser entre el 1990 i el 1993.;CA;CLINICAL;HUMAN;NONE;;
Els pacients amb silicosi són particularment susceptibles a la infecció de la tuberculosi-coneguda com a silicotuberculosi-. ;CA;CLINICAL;HUMAN;NONE;;
En data del 19 d'abril, el país comptabilitzava 19 casos confirmats de Covid-19 i 1 persona guarida.;CA;CLINICAL;HUMAN;NONE;;
Dues setmanes després de la seva mort, els organismes oficials de salut van anunciar que la causa de la mort havia estat una nova soca de la grip porcina. ;CA;CLINICAL;HUMAN;NONE;;
Seguiment, avaluació i anàlisi de la situació de salut de la comunitat ;CA;CLINICAL;HUMAN;NONE;;
Uns quants centenars d'infeccions es remuntaven finalment a aquella localitat amb transmissions que havien aparegut a partir de la fi de febrer. ;CA;CLINICAL;HUMAN;NONE;;
És imprescindible invertir en recursos de salut pública per preparar mesures preventives i reduir les desigualtats de salut per minimitzar l’impacte de les crisis sanitàries, ja que generalment sempre pateixen mes la població mes pobra. ;CA;CLINICAL;HUMAN;NONE;;
"""En la setmana del llançament del joc, Nintendo va llançar una actualització de la preparació i del """"Bunny Day"""", a l'abril, que es basa en Setmana Santa."" ";CA;CLINICAL;HUMAN;NONE;;
Entre el seu descobriment (1981) i el 2014 la sida ha causat uns 39 milions de morts a tot el món.;CA;CLINICAL;HUMAN;NONE;;
La immunització d’aquest segment de la xarxa pot reduir dràsticament l’impacte de la malaltia a la xarxa i requereix la immunització de molts menys nodes en comparació amb la selecció aleatòria dels nodes. ;CA;CLINICAL;HUMAN;NONE;;
Però és compatible amb les cartes i les figures Amiibo de la sèrie Animal Crossing, però no admet els guardats en línia que ofereix el servei de Nintendo Switch Online, tot i que els usuaris d'aquest servei podran recuperar les seves dades del joc si la seva Switch s'ha trencat, perdut o ha estat robada. ;CA;CLINICAL;HUMAN;NONE;;
Sovint es quantifica en termes d'anys de vida ajustats per qualitat (AVAQ) o anys de vida ajustats per discapacitat (AVAD), els quals quantifiquen en nombre d'anys de vida perduts degut a malaltia (AVPM). ;CA;CLINICAL;HUMAN;NONE;;
"""Wired.com va citar Plague Inc. com una història d'èxit d'un desenvolupador independent notable, ja que es """"va oposar al sistema estant entre els primers llocs de les llistes en nombrosos països durant tota la seva existència, obtenint milions d'ingressos mentre competien amb grans jugadors""""."" ";CA;CLINICAL;HUMAN;NONE;;
Henry va informar, el 1926, que va utilitzar oli d'esquist als eixos de rotació ràpida, que, a causa de la força centrífuga, es va polvoritzar.;CA;CLINICAL;HUMAN;NONE;;
Lister es va assabentar dels treballs de Louis Pasteur, sobre que la fermentació i la podridura podien passar en condicions anaeròbiques si hi havia microorganismes. ;CA;CLINICAL;HUMAN;NONE;;
El tractament de la TB utilitza antibiòtics per matar els bacteris. ;CA;CLINICAL;HUMAN;NONE;;
L'agost de 2004, a la Xina, es van detectar porcs infectats amb la soca H5N1.;CA;CLINICAL;HUMAN;NONE;;
El desembre de 2012, Plague Inc. fou un dels cinc jocs nominats a 'Millor Joc d'Estratègia' de Joc de l'Any 2012 d'IGN, per mòbil i per totes les plataformes.;CA;CLINICAL;HUMAN;NONE;;
Tot i això, hi ha un temps limitat per completar el joc abans que els humans, els adversaris, desenvolupin una cura per aturar la plaga. ;CA;CLINICAL;HUMAN;NONE;;
"Durant les 25 primeres setmanes podrien haver mort fins a 25 milions de persones; en contrast, la sida ha mort 25 milions de persones en els seus primers 25 anys.";CA;CLINICAL;HUMAN;NONE;;
"""Un observador escrigué: """"Una de les complicacions més sorprenents eren les hemorràgies de les membranes mucoses, especialment del nas, l'estómac i l'intestí."" ";CA;CLINICAL;HUMAN;NONE;;
La ventilació mecànica és sovint una intervenció que pot salvar vides, però comporta moltes complicacions serioses com ara pneumotòrax, dany de les vies respiratòries, dany alveolar, i pneumònia associada al ventilador. ;CA;CLINICAL;HUMAN;NONE;;
Nascut a Ponferrada (província de Lleó), amb dos anys es va traslladar a viure a Valladolid. ;CA;CLINICAL;HUMAN;NONE;;
L'Administració d'Aliments i Fàrmacs va aprovar la nova vacuna contra la grip porcina per l'ús als Estats Units, el 15 de setembre del 2009.;CA;CLINICAL;HUMAN;NONE;;
La missió va aconseguir portar el vaccí fins a les Illes Canàries, Veneçuela, Colòmbia, Equador, Perú, Mèxic, les Filipines i Xina. ;CA;CLINICAL;HUMAN;NONE;;
:78 Van aparèixer breus obituaris en unes poques revistes mèdiques a Viena i Budapest.;CA;CLINICAL;HUMAN;NONE;;
El terme cordó sanitari, però, és molt poc comú a Alemanya per consideracions de coalició. ;CA;CLINICAL;HUMAN;NONE;;
Es preveu que sigui la quarta causa de mort al món el 2030 a causa d'un augment en les taxes de tabaquisme i els canvis demogràfics en molts països.;CA;CLINICAL;HUMAN;NONE;;
La capital i la seva contornada es posaren en quarantena, i s'hi establiren controls de policia. ;CA;CLINICAL;HUMAN;NONE;;
Representen aproximadament 1 de cada 300 persones infectades.;CA;CLINICAL;HUMAN;NONE;;
Aquesta nova soca està estretament relacionada amb la soca involucrada amb la pandèmia de grip del 1918.;CA;CLINICAL;HUMAN;NONE;;
A causa del retard, Nintendo va registrar una pèrdua d'un 5,3% de valor borsari, que va suposar una pèrdua d'un bilió de dòlars americans.;CA;CLINICAL;HUMAN;NONE;;
El president Ilir Meta va fer una crida per tal que els doctors retirats vinguessin ajudar, i lluitar contra el virus. ;CA;CLINICAL;HUMAN;NONE;;
El tractament de la tuberculosi és complicat i requereix llargs tractaments amb diversos antibiòtics. ;CA;CLINICAL;HUMAN;NONE;;
El 29 de febrer, es va fer públic el primer cas confirmat d'infecció de Covid-19, un estudiant de l'est del país que havia tornat del nord d'Itàlia on el virus ja s'havia estès a gran part de les regions padanes.;CA;CLINICAL;HUMAN;NONE;;
Els estudis realitzats per l'Institut Nacional de Salut dels Estats Units (NHI) revelen que una sola dosis de la vacuna indueix la producció de prou anticossos contra el virus per a protegir un individu a partir del desè dia després de la vacunació. ;CA;CLINICAL;HUMAN;NONE;;
El 2004, el problema de salut que va portar a l'AVPM més alt per a homes i dones era la depressió unipolar, el 2010, va ser el mal d'esquena.;CA;CLINICAL;HUMAN;NONE;;
Per a això, farà una obertura a través de la paret toràcica, i farà la toracoscòpia al tòrax entre dues costelles. ;CA;CLINICAL;HUMAN;NONE;;
Es denomina lesió pulmonar induïda pel respirador si es pot demostrar que la ventilació mecànica va causar la lesió pulmonar aguda. ;CA;CLINICAL;HUMAN;NONE;;
Alhora, dues persones que havien entrat en contacte proper amb el malalt se n'anaren de Dornogovi malgrat les recomanacions dels oficials de salut que els havien demanat de romandre a la província. ;CA;CLINICAL;HUMAN;NONE;;
Tot i que la majoria d'individus infectats pel VIH-1 tenen una càrrega viral detectable i en absència de tractament amb el temps progressen a sida, una petita proporció (aproximadament un 5%) mantenen nivells alts de limfòcits T CD4+ sense tractament antiretroviral durant més de 5 anys.;CA;CLINICAL;HUMAN;NONE;;
Abans de la fi del mes de gener de 2020, el govern de Brunei va anunciar restriccions pel que fa a l'entrada al país per a tots els viatgers que venien de la Xina.;CA;CLINICAL;HUMAN;NONE;;
H2N2, que causà la grip asiàtica el 1957;CA;CLINICAL;HUMAN;NONE;;
Resultats al lloc web de la televisió pública ;CA;CLINICAL;HUMAN;NONE;;
A conseqüència la mesura comportà l'anul·lació de tots els partits de rugbi. ;CA;CLINICAL;HUMAN;NONE;;
La ministra de Salut del país bàltic, Ilze Viņķele, va estimar que la preparació del país de cara a l'epidèmia de coronavirus equivalia a una nota de 8 sobre 10.;CA;CLINICAL;HUMAN;NONE;;
José María Calleja (Ponferrada, 1955 – Madrid, 21 d'abril de 2020 ) fou un periodista, escriptor i professor universitari espanyol.;CA;CLINICAL;HUMAN;NONE;;
La pandèmia per coronavirus de 2019-2020 es va propagar a Luxemburg a partir del mes del 29 de febrer del 2020.;CA;CLINICAL;HUMAN;NONE;;
El primer sanatori per tuberculosos fou obert el 1859 a Görbersdorf (Alemanya) (avui en dia Sokołowsko (Polònia)) per Hermann Brehmer.;CA;CLINICAL;HUMAN;NONE;;
El 2014, va ser el 3r joc d'iPhone més venut als Estats Units i la primera aplicació més venuda a la Xina.;CA;CLINICAL;HUMAN;NONE;;
Aquests organismes habiten una gran varietat de nínxols ecològics, es poden trobar en l'aigua, el sòl, les plantes, el insectes, els animals i els humans. ;CA;CLINICAL;HUMAN;NONE;;
El VIH afecta gairebé tots els sistemes d'òrgans. ;CA;CLINICAL;HUMAN;NONE;;
A aquesta darrera ciutat, una de les persones era un estudiant que havia tingut contacte amb la dona infectada a la regió de Jytòmyr, mentre que l'altre individu era una dona que havia tornat de França. ;CA;CLINICAL;HUMAN;NONE;;
A conseqüència, el govern va restringir l'entrada a l'illa de tots els individus que venien d'Europa, per aire o per mar – aplicable a partir del 15 de març i que havia de durar fins al 31 de març – a excepció dels ciutadans arubians.;CA;CLINICAL;HUMAN;NONE;;
La higiene de mans en l'àmbit sanitari es refereix a les pràctiques d'higiene relacionades amb procediments mèdics. ;CA;CLINICAL;HUMAN;NONE;;
Els CDC recomanen, el mètode de la PCR en temps real (RT-PCR) per a diagnosticar H1N1.;CA;CLINICAL;HUMAN;NONE;;
La taxa de mortalitat infantil (TMI) és una taxa utilitzada en demografia per indicar el nombre de nens i nenes d'una població que moren abans d'arribar a l'any de vida per cada mil infants que hi han nascut vius, en un període determinat, generalment un any. ;CA;CLINICAL;HUMAN;NONE;;
El 28 de febrer de 2019, l'estudi va anunciar que afegirien un escenari al joc sobre el moviment antivacunes, després que la petició de Change.org per fer-ho va obtenir més de 10.000 firmes.;CA;CLINICAL;HUMAN;NONE;;
Des d'aleshores, només s'han confirmat 50 transmissions de porc a humà.;CA;CLINICAL;HUMAN;NONE;;
L'arribada de la pandèmia per coronavirus de 2019-2020 a Senegal es confirmà el 2 de març de 2020.;CA;CLINICAL;HUMAN;NONE;;
Va ser membre i president de la Royal Society entre 1895 i 1900.;CA;CLINICAL;HUMAN;NONE;;
"""Segons James Vaughan (el desenvolupador), """"[ell] volia amb ganes el repte de fer un joc físic per fer costat al videojoc - especialment perquè els jocs de taula estan esdevenint més populars ara""""."" ";CA;CLINICAL;HUMAN;NONE;;
La pandèmia per coronavirus de 2019-2020 va començar a afectar Eslovènia a partir del 4 de març del 2020.;CA;CLINICAL;HUMAN;NONE;;
L'individu era un dels 221 viatgers a qui s'havien fet anàlisis tot just quan començaren el seu aïllament després de desembarcar d'un vol charter que anava d'Istanbul a Ulaanbaatar.;CA;CLINICAL;HUMAN;NONE;;
Però si la lesió s'hagués convertit en maligna, era molt més greu. ;CA;CLINICAL;HUMAN;NONE;;
La síndrome post-cures intensives (SPCI) descriu una col·lecció de trastorns de salut que són comuns entre els pacients que sobreviuen a malalties crítiques i de cures intensives. ;CA;CLINICAL;HUMAN;NONE;;
La percepció de crisi pot defugir el control d’experts o institucions sanitàries. ;CA;CLINICAL;HUMAN;NONE;;
Determina un tipus de pneumoconiosi en què destaca la formació de fibrosi pulmonar i granulomes. ;CA;CLINICAL;HUMAN;NONE;;
Piraveenan i altres han demostrat que la vacunació basada en la centralitat de percolació és particularment eficaç quan la proporció de persones ja infectades és del mateix ordre de magnitud que el nombre de persones que podrien ser vacunades abans que la malaltia es propagués molt més. ;CA;CLINICAL;HUMAN;NONE;;
El començament de la pandèmia per coronavirus de 2019-2020 a Letònia es va detectar el 2 de març de 2020 arran de la prova positiva d'una dona que tornava de Milà.;CA;CLINICAL;HUMAN;NONE;;
Aquest gènere només té una espècie, el virus de la grip A. Els ocells aquàtics salvatges són els hostes naturals d'una gran varietat de virus de la grip A. A vegades, els virus es transmeten a altres espècies, i poden causar brots devastadors en l'aviram domèstic o provocar pandèmies de la grip humana. ;CA;CLINICAL;HUMAN;NONE;;
Les infeccions per H5N1són probablement molt comunes: en un seguiment que es va fer a 10 granges de porcs sans de Java que estaven a prop de granges d'aviram on s'havien produït brots de grip aviària, es van detectar porcs infectats amb H5N1 en 5 de les 10 mostres.;CA;CLINICAL;HUMAN;NONE;;
Hi va haver estudis sobre la síndrome de Guillain-Barré, un trastorn de paràlisis neuromuscular, que afecta algunes persones que havien rebut immunitzacions contra la grip porcina. ;CA;CLINICAL;HUMAN;NONE;;
Es desconeix la mortalitat total de la pandèmia de 1918-1919, però es calcula que morí entre el 2,5% i el 5% de la població mundial.;CA;CLINICAL;HUMAN;NONE;;
A conseqüència, es va confinar l'hotel amb diversos turistes desatesos pel país. ;CA;CLINICAL;HUMAN;NONE;;
Aquesta va ser la primera relació laboral amb el càncer, i Pott va ser la primera persona que va demostrar que una malignitat podria ser causada per un carcinogen ambiental. ;CA;CLINICAL;HUMAN;NONE;;
Cada cursa té un mínim de 305 km, excepte el Gran Premi de Mònaco, que té una distància de 260 km.;CA;CLINICAL;HUMAN;NONE;;
La gestió adequada de les instal·lacions es basa en l'ús de desinfectants i el control de la temperatura. ;CA;CLINICAL;HUMAN;NONE;;
Actualment les estratègies de vacunació per la prevenció i el control del SIV a les granges de porcs, inclouen típicament l'ús d'una de les diverses vacunes bivalents contra el SIV, disponibles comercialment als Estats Units. ;CA;CLINICAL;HUMAN;NONE;;
L'aplicació d'aquesta observació per part de Francis permeté al seu grup d'investigadors de la Universitat de Michigan desenvolupar la primera vacuna de la grip, amb el suport de l'Exèrcit dels Estats Units. ;CA;CLINICAL;HUMAN;NONE;;
La tuberculosi ha estat present en els humans des de l'antiguitat. ;CA;CLINICAL;HUMAN;NONE;;
Gairebé ningú - ni a Viena ni a Budapest - semblava disposat a reconèixer la vida i l'obra de Semmelweis. ;CA;CLINICAL;HUMAN;NONE;;
Per exemple, la grip porcina només va observar-se com a nova malaltia dels porcs el 1918, després dels primers grans brots de grip entre les persones.;CA;CLINICAL;HUMAN;NONE;;
"""El rentat de mans amb sabó de forma constant en determinats """"moments crítics"""" durant el dia evita la propagació de moltes malalties, com les diarrees infeccioses, que es transmeten per via fecal-oral."" ";CA;CLINICAL;HUMAN;NONE;;
Es va demanar a la gent de «conservar la calma» i de «respectar les mesures preventives aplicades». ;CA;CLINICAL;HUMAN;NONE;;
La SRIS va ser adoptada més àmpliament el 1991 en la Conferència de Consens de l'American College of Chest Physicians/Society of Critical Care Medicine amb l'objectiu d'ajudar en la detecció precoç de la sèpsia.;CA;CLINICAL;HUMAN;NONE;;
Més tard, el 1961, rebé el nom d'Institut de Microbiologia del Sud de la Xina, per passar a ser reanomenat com a Institut de Microbiologia de Wuhan el 1962.;CA;CLINICAL;HUMAN;NONE;;
Durant els darrers 40 anys, s'han intentat desenvolupar vaccins contra K. pneumoniae que han resultat no ser eficaços.;CA;CLINICAL;HUMAN;NONE;;
Les crisis sanitàries tenen generalment impactes importants en la salut de la comunitat, la pèrdua de vides i en l’economia. ;CA;CLINICAL;HUMAN;NONE;;
L'arribada de la pandèmia per coronavirus de 2019-2020 a la Ciutat del Vaticà es va confirmar el 5 de març de 2020 amb el primer cas d'un individu contagiat amb Covid-19.;CA;CLINICAL;HUMAN;NONE;;
Hagueren de fer una quarantena fins al seu guariment. ;CA;CLINICAL;HUMAN;NONE;;
El 2 de març el ministeri de Salut de Letònia va confirmar el primer cas de COVID-19 al país.;CA;CLINICAL;HUMAN;NONE;;
Les infeccions gastrointestinals per aquest bacteri es poden tractar, però solen tenir una mortalitat del 25%-60% depenent com d'aviat es tracti la malaltia.;CA;CLINICAL;HUMAN;NONE;;
Les persones amb el flux d'aire obstruït poden tenir sibilància o disminució dels sons amb l'entrada d'aire, quan s'examina el tòrax amb un estetoscopi. ;CA;CLINICAL;HUMAN;NONE;;
Aquest terme és adequat en la majoria de les situacions, ja que és pràcticament impossible de demostrar el que realment va causar la lesió pulmonar a l’hospital (el respirador o la mateixa malaltia que ha ocasionat el seu ús). ;CA;CLINICAL;HUMAN;NONE;;
El triatge pot donar lloc a la determinació de l'ordre i prioritat de tractament d'emergència, l'ordre i la prioritat del transport d'emergència, o la destinació del transport per al pacient. ;CA;CLINICAL;HUMAN;NONE;;
En canvi tres altres casos havien estat en contacte amb la gent contaminada durant la cerimònia musulmana i el darrer cas, un home de 64 anys sense relacions amb els altres contagiats, havia anat a Kuala Lumpur i a Cambodja.;CA;CLINICAL;HUMAN;NONE;;
En la forma més extrema, el cordó no s'aixeca fins que s'extingeixi la infecció, la qual cosa a tothom que és a dins a morir o sobreviure. ;CA;CLINICAL;HUMAN;NONE;;
American Osteopathic College of Dermatology ;CA;CLINICAL;HUMAN;NONE;;
La soca H1N1, de la grip porcina, és una de les descendents de la soca que va causar la pandèmia del 1918.;CA;CLINICAL;HUMAN;NONE;;
La centralitat de percolació, una recent mesura de centralitat introduïda pel Dr. Mahendra Piraveenan i altres, és particularment útil per identificar nodes per a la vacunació basats en la topologia de la xarxa. ;CA;CLINICAL;HUMAN;NONE;;
Abans de la introducció d'anestèsics, aquest era un procés senzill per al cirurgià però aterridor per al pacient. ;CA;CLINICAL;HUMAN;NONE;;
Per a poder controlar i frenar l'expansió del virus al territori togolès, es tancaren les fronteres del país. ;CA;CLINICAL;HUMAN;NONE;;
Es dóna de dues a tres vegades més en homes que en dones. ;CA;CLINICAL;HUMAN;NONE;;
El cas es va estudiar a l'hospital universitari de Treichville a Abidjan. ;CA;CLINICAL;HUMAN;NONE;;
Aquests solen incloure equips de protecció individual (bata, màscara i guants) i controls d'enginyeria (sales de pressió positiva, sales de pressió negativa, equips de flux d'aire laminar i diverses barreres mecàniques i estructurals). ;CA;CLINICAL;HUMAN;NONE;;
Al Regne Unit, l'extrema dreta del Partit Nacional Britànic (BNP) està completament marginada pel principal corrent polític. ;CA;CLINICAL;HUMAN;NONE;;
S'informà llavors que aquesta segona pacient era una dona que havia tornat d'una estació d'esquí de Breuil-Cervinia, amb un vol Milà-Riga, el 7 de març.;CA;CLINICAL;HUMAN;NONE;;
Alhora va demanar als ciutadans de seguir mesures de precaució com rentar-se les mans, evitar els contactes propers i defugir els grups nombrosos. ;CA;CLINICAL;HUMAN;NONE;;
La seva infecció S. typhimurium és causada pel consum d’ous no ben cuits o per altres patògens ;CA;CLINICAL;HUMAN;NONE;;
El març de 1925, el Ministeri de l'Interior britànic (Home Office) va realitzar una enquesta, que va ser publicada el 1926.;CA;CLINICAL;HUMAN;NONE;;
El 21 de març, es conegueren tres nous casos.;CA;CLINICAL;HUMAN;NONE;;
El 26 de febrer, fou confirmat el primer cas d'infecció amb SARS-CoV-2 a Grècia.;CA;CLINICAL;HUMAN;NONE;;
El terme SPCI va sorgir cap al 2010, almenys en part, per sensibilitzar sobre les importants disfuncions a llarg termini derivades del tractament a la unitat de cures intensives (UCI).;CA;CLINICAL;HUMAN;NONE;;
El flux d'aire pobre és el resultat del trencament de teixit pulmonar (conegut com a emfisema) i de petites malaltia que redueixen el flux (conegudes com a bronquitis obstructiva). ;CA;CLINICAL;HUMAN;NONE;;
La causa principal de TB, Mycobacterium tuberculosis, és un eubacteri aeròbic que es divideix cada 16-20 hores, un ritme extremament lent en comparació amb altres bacteris, que se solen dividir en menys d'una hora (per exemple, un dels bacteris que creixen més ràpidament és una soca d'E.;CA;CLINICAL;HUMAN;NONE;;
Està organitzada sota l'auspici de la Federació Internacional d'Automobilisme (FIA). ;CA;CLINICAL;HUMAN;NONE;;
Lister provenia d'una família quàquera de Upton, Essex, i era fill del pioner en l'ús del microscopi compost Joseph Jackson Lister. ;CA;CLINICAL;HUMAN;NONE;;
L'any 1876, Robert Koch va observar que era la causa de la malaltia quan aïllar els bacterisd'una mostra de sang d'una vaca infectada i els va injectar a un ratolí.;CA;CLINICAL;HUMAN;NONE;;
Hi ha proves provisionals que aquells amb asma i hiperreactivitat de vies aèries augmenta el risc de MPOC. ;CA;CLINICAL;HUMAN;NONE;;
Aquell cas fou considerat com a problemàtic per culpa del temps relativament llarg que havia passat entre la tornada a Dinamarca del pacient fins al moment quan va contactar les autoritats, ja que havia estat durant molt de temps en contacte amb la gent del voltant, la qual cosa feia molt difícil per als investigadors de poder localitzar totes les persones amb qui podia haver estat en contacte proper. ;CA;CLINICAL;HUMAN;NONE;;
Aquest tipus de grip muta a una velocitat 2-3 vegades inferior a la del tipus A de manera que té una menor diversitat genètica, amb només un serotip.;CA;CLINICAL;HUMAN;NONE;;
Costa d'Ivori també va suspendre els vols amb els països que tenien aleshores més de 100 casos declarats, per a una durada de 15 dies, autoritzant només els vols per als seus ciutadans o residents.;CA;CLINICAL;HUMAN;NONE;;
Els calendaris de vaccinacions són desenvolupats per agències governamentals o grups mèdics per aconseguir la màxima eficàcia amb vaccins requerits i recomanats per a una regió i reduir al mínim el nombre d'interaccions del sistema de cura de la salut. ;CA;CLINICAL;HUMAN;NONE;;
La causa més comuna de mort és la insuficiència respiratòria. ;CA;CLINICAL;HUMAN;NONE;;
